gender,location,Earnings_Stability,Transaction_Volume,Avg_Rating,Fulfillment_Reliability,Timeliness,Complaint_Rate,Engagement_Duration,Repeat_Customer_Rate,Cost_Efficiency,Nova_Score,Credit_Category
Male,Urban,11107.923022967272,47,3.5615899488008003,93.30924156420316,99.39368789603165,0.15909064595053132,25.769513383306464,45.19235290117936,1.8076491929650358,499.64769191037044,Poor
Female,Urban,19420.926339509682,60,4.548078042858318,92.61680169272543,86.59430000387593,0.1280264896413138,42.28892743049515,40.569139870953805,1.7765877622233561,701.6001113836801,Good
Female,Urban,17997.037241541686,40,4.091383606220032,97.54766802708647,93.24997008888057,0.4127835115188547,3.183247337990739,48.76697948925077,2.573084237924599,638.4435229996448,Fair
Male,Urban,15192.806302304734,50,3.615283914436184,95.22658505893081,80.3953955058771,0.29239552482582093,24.06141504440434,21.5021957102679,1.8464894309217974,551.4881611085389,Poor
Male,Urban,11970.772207775804,53,3.6066591013216804,99.14449695004063,81.83621960395944,0.28790470355221676,34.84791542008132,48.79508010162701,1.548299194099266,607.4617452967613,Fair
Male,Urban,16601.88898293917,55,3.5204277761167244,96.68215393546242,84.10420769106682,0.04881894808171982,5.791159930014452,76.61405811964292,1.234069415733474,597.128033340423,Fair
Male,Urban,9599.621082848624,53,3.9594876258764278,95.05276112176166,89.61664139589003,0.07720822270683994,6.418366580404189,62.04095806866562,1.695157732276129,649.2085976397927,Fair
Female,Urban,16229.725945732778,46,4.464953655523999,97.7942966257301,88.24044618767535,0.6895066932394524,9.485336151497574,52.07218327216092,1.3235449821207228,679.6873939446192,Good
Male,Urban,15783.920612260132,57,4.497970835505482,97.20593059252828,98.11803550756782,0.005614871560799484,41.785627065780496,59.471763059755546,1.553353708539609,678.1708169182915,Good
Female,Urban,12545.962796052158,44,4.84951663311364,96.86237978745476,96.77577987864493,0.2828758596265569,15.060477466720982,39.93339108875097,0.8841920216755695,744.04483640046,Excellent
Male,Urban,16417.558940052317,56,4.39089729642175,96.83384561715542,82.85733545430915,0.45610192475525824,27.427962700188292,10.492455612980294,1.9836902672165113,737.897773030838,Good
Female,Urban,11658.33661160845,44,3.555737127123543,91.55777022458109,93.61576199633284,0.5682422310556983,19.485102988330894,45.70392164140084,1.4933789672852222,444.88984370366353,Poor
Female,Rural,7824.031724849504,47,4.818718147774109,94.10636788559059,98.57425259342602,0.0839921839896553,9.81961814452501,47.103064754253346,1.5475984050292153,648.5864680639742,Fair
Male,Urban,15933.895038999764,44,4.539457280805604,96.74670492223729,90.93704858124958,0.08009011937234914,14.807261054717234,56.31525122162701,1.6210215268646841,687.4582730103281,Good
Male,Rural,10832.630530694378,49,4.061053689946147,97.92125165543875,92.75007339368813,0.17050789270514616,14.11121332196793,10.215191007038158,2.209457803651544,618.9936934715249,Fair
Male,Rural,12584.540538411602,47,3.870492221155059,89.82292816105544,76.80415637923058,0.0570637862383038,18.269048381079966,56.2727450562882,1.2658978105407999,542.7216349640333,Poor
Male,Urban,18462.659774678217,55,3.8332500412093844,88.9140742834091,90.36256490920753,0.22848752712929266,22.77258546895369,92.86459275367307,2.17847844024113,728.4442584894334,Good
Male,Urban,10833.23778281111,44,4.934349778970514,98.66806935844562,86.9612649887388,0.010551354658323695,26.771649168210075,53.39979737028334,1.7023555820677778,655.5120734770308,Fair
Male,Urban,12569.861485480074,51,4.129131413631284,93.98796019825359,89.01735032242406,0.18111487744317317,1.8503048815655454,80.1417246874295,1.2393539903971917,536.5324717139656,Poor
Male,Urban,17708.90351373314,47,4.230210027929656,99.68118874138209,88.22069042490286,0.00454122943736757,33.20587673896627,54.5341664355358,1.7324043234848931,674.3091153589124,Good
Male,Urban,15006.19519256585,44,4.755203278396442,97.65946090051504,98.5172441717846,0.3591850421228381,9.824186038649888,41.20917330918664,2.077826919470817,659.5765640249639,Fair
Male,Rural,9265.554002278279,54,4.945796213983391,93.74934168959635,96.364391784194,0.20538765953888283,9.591060114606405,46.41357019981074,1.1371183838671861,626.906858742427,Fair
Male,Urban,10134.946889381565,50,3.506590027489992,99.72562713608838,97.66789614916406,0.09265713462246811,25.045943855952338,59.70332213447742,1.2781151130392492,627.2390016747338,Fair
Male,Rural,9703.39436773647,43,4.985364888502248,98.91055133293618,84.42767825176017,0.06241750101380041,28.059122199775548,69.97091894789232,1.5639630680605296,702.7756078549395,Good
Male,Urban,10784.755885591365,51,3.6131922899834303,91.14602229924527,94.07480047791587,0.03503655501146888,28.36686883596391,65.93857980204012,2.3882113413726445,698.5123520102738,Good
Female,Rural,11655.237704698304,49,4.612594895633649,92.08182662221544,88.28598650522939,0.06184791957163062,23.29356533501243,39.74035730266507,1.5053084399150443,746.1697841909469,Excellent
Male,Urban,13235.3035215928,63,4.925477869219679,99.78149914226546,98.57603774752282,0.27555708842272714,1.0,65.97929156300397,2.7062609821198795,667.2908136339182,Fair
Male,Urban,13837.713262826053,52,4.341670413823986,98.16828772291693,98.23331718954431,0.012563511345883903,22.338494565099506,35.23808599274856,1.2416902366655866,682.1438543648496,Good
Male,Urban,10477.561595320652,48,4.32757024727547,94.37586160252737,82.48709810001228,0.12466029912381077,16.716046928142532,63.8533892964111,1.3341447948603606,629.2897775476679,Fair
Male,Urban,12787.498277424234,41,4.503520843867575,99.93326673381975,91.22899297911101,0.034184171094105514,1.0,60.18784908310933,1.730302146851356,630.6182154263054,Fair
Male,Urban,6832.90067813135,48,4.029247224870205,99.35842670312559,74.70646258074495,0.23306770304228827,11.078976730306078,61.340175189276025,1.8430058699596181,618.1477559968952,Fair
Male,Rural,11419.766109271484,55,3.7487051037262855,96.51723225915872,92.39117400526483,0.7415595850384272,33.658874355388825,45.1930876490939,2.2273124014446584,564.8368466832524,Poor
Male,Urban,16526.321934867596,35,3.5996226040775414,96.77101996587906,70.19864426890541,0.10719472106479348,18.466803136013155,27.03240280026842,1.5059230308739762,489.38537761817213,Poor
Female,Rural,7416.89793116724,48,4.677002224713034,76.64634831066734,99.92513307390294,0.1283109121677733,35.43503682133894,37.18527903395792,0.8554474106461448,581.7311666039931,Fair
Female,Urban,14450.284691942383,53,4.191361577055869,91.5407458925397,99.47021177500926,0.09513034203727386,19.049717286679492,36.444702250513366,1.7582750239346507,586.0228803364496,Fair
Female,Rural,9491.913403010565,51,4.404872745316894,94.55000282183899,98.12288303688584,0.16143669551168346,21.7168242635465,16.067363217928353,2.4472350748074287,633.5188042335133,Fair
Male,Urban,15407.503461080109,51,3.998078275450209,80.62401119479783,96.08062949040777,0.3463453601166366,38.954925680262804,42.075418576277976,2.0695398312726945,742.3116151847421,Excellent
Male,Urban,13475.942353636836,50,4.710512812813082,99.56321962792565,94.3192776989773,0.06767659021729175,28.335800857311675,61.319995754554185,2.137109486373477,669.8184629735762,Good
Male,Rural,12081.995487284123,52,4.024881881168032,90.31146838685217,85.76938441291429,0.5151355630294342,24.353018264793242,42.417878334422696,2.3613427190074194,619.3237944852357,Fair
Male,Urban,13194.47169626632,56,3.544641721500917,99.86219147863767,82.9454582423244,0.04296168585526064,24.63898798733651,38.879973734530694,1.5159705920574291,621.8492996221879,Fair
Male,Urban,16984.99541915306,41,4.0053566424794225,87.40114157194395,96.15152486191124,0.08224779734897358,15.451057004948547,56.01845570008797,1.1503450935241313,658.4874260165819,Fair
Male,Urban,14042.231433085308,53,4.775488851730431,99.30312631970963,80.97764918665746,0.03819366773542471,35.48961438858636,50.6174754655938,1.7896811999421987,686.4936181506833,Good
Male,Urban,10883.728857992646,39,4.813832708580009,95.03890693394663,85.46540475852937,0.047175611028217594,31.846428952950486,47.430820724886374,1.3875969480405541,702.6905958949183,Good
Female,Urban,13296.145156963012,51,4.755015618519572,96.72093922597698,97.42503044693699,0.04453676583471945,41.681920431419776,22.270849347050742,0.723410528927366,648.8997423243956,Fair
Male,Urban,11893.356871101852,50,4.249217696266764,92.2490423017321,80.36285835680138,0.09727458241197438,25.958883730008658,62.013725479947695,1.8886714684675152,695.8485529079749,Good
Male,Urban,13487.199719558768,48,4.934889873780713,94.83046345287434,98.56519518900694,0.06639240761082311,26.513992415639333,46.345628712851344,2.2685307032705087,697.0925291570147,Good
Male,Urban,11740.690862899562,52,4.248767766137904,97.50781380811233,67.62223875469569,0.6245345904351125,27.199958363044807,38.10342875213194,2.375264592756861,660.580381929757,Fair
Male,Urban,10969.567793361057,50,3.7308731835646523,93.59445741398139,73.4796373303526,0.2929909158742169,6.763978441847865,66.27808986893864,1.2943469771293465,541.8494483682472,Poor
Male,Urban,13597.816638245338,43,4.253055450154989,98.89055544244563,91.80802671432836,0.015319613795186893,27.343395824130674,70.53665015758466,1.6445726160747434,651.6881260662553,Fair
Male,Urban,13167.36888584966,42,4.802921332360658,95.94922707631594,89.95546670141495,0.08117273398796021,1.0,41.39278982731666,1.3244669448340007,561.5866156152077,Poor
Female,Rural,13763.08740486691,37,4.538178726024011,94.90525943253763,95.03366567810072,0.08534375873715362,18.370008619225853,62.40106518304292,0.6399557852424484,650.3922452848066,Fair
Female,Rural,9991.862508211327,39,4.026547367527745,98.12754889854565,97.31045119765203,0.5392628509421992,31.562845516823977,60.908748944380704,1.6488708376902335,597.7661648040429,Fair
Female,Urban,7057.438457514078,48,3.7042505783298205,87.2815206069275,92.34731546253815,0.12511615466603818,19.18225978457404,59.35464910979324,1.9118693018802189,511.4203647916219,Poor
